left,right
solid,liquid
east,west
north,south
charge,discharge
inorganic,organic
electron,hole
input,output
electrode,electrolyte
core,shell
liquid,gas
sol,gel
metal,metal
electron,proton
disulfide,silver
graphene,silver
π,π
n,π*
carbonate,bicarbonate
risk,benefit
inflation,deflation
sucrose,peptone
structure,activity
host,guest
activation,deactivation
spin,orbit
screw,screw
Volmer,Weber
Stranski,Krastanov
Tukey,Kramer
Frank,van
Hanes,Woolf
Michaelis,Menten
Bellman,Ford
Kaplan,Meier
Belzold,Jarish


